protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G055276	x	GRMZM2G055276	9687.5	1739.989913	380.4392185	799.7232156	348.8494551	62.6575002	13.69971758	28.79824599	0.000390986	0.000329045	0.000115222	5.46187E-05	0.000484524	0.000426338	0.00015173	6.3265E-05
GRMZM2G055452	x	GRMZM2G055452	874.3333333	1283.761436	94.9358498	102.4152634	29.79828105	43.75205953	3.235522456	3.490429436	0	6.72558E-05	0	0	0	0.000121685	0	0
GRMZM2G055489	x	GRMZM2G055489	409	1698.860802	2689.167754	2503.942672	16.01219576	66.50975972	105.2799035	98.02841134	0	0	8.43731E-05	0.000121357	0	0	0.000128887	0.000166473
GRMZM2G055527	x	GRMZM2G055527	319	159.9465449	80.88899707	103.4467841	20.67709493	10.36749182	5.243101791	6.705263245	0.000399739	0.000105764	0	0	0.00011061	3.12578E-05	0	0
GRMZM2G055713	x	GRMZM2G055713	248.5	5.712376603	10.1763577	14.58864904	18.10587027	0.416207443	0.741455985	1.062938378	0.000185889	0	0	0	0.000143308	0	0	0
GRMZM2G055717	x	GRMZM2G055717	240	297.614821	413.0557496	249.7753548	35.9255363	44.54988356	61.83020552	37.38880656	0	0	0.000929376	0.000194073	0	0	0.000209089	3.99425E-05
GRMZM2G055899	x	GRMZM2G055899	431	201.0756564	217.0956308	169.7588252	15.74320601	7.344722696	7.929886867	6.200807789	0.000138694	7.36441E-05	0	0	0.000227478	0.000120569	0	0
GRMZM2G055936	x	GRMZM2G055936	2320.5	2107.295729	1581.249427	3317.812456	173.2999547	157.377399	118.0911243	247.7814042	0.001743096	0.000696871	0.000503065	0.000898706	0.00096279	0.000401889	0.000285694	0.000474419
GRMZM2G055982	x	GRMZM2G055982	206.4285714	108.6439626	53.75204321	38.38204093	7.254838501	3.818242783	1.889091176	1.348919418	3.47599E-06	0	0	0	5.53049E-06	0	0	0
GRMZM2G056039	x	GRMZM2G056039	26987.5	7438.314069	1956.243859	4463.684526	742.2922481	204.5911208	53.80656422	122.7738183	0.00164072	0.0008269	0.000543298	0.000388879	0.003830408	0.002012131	0.001358843	0.000859191
GRMZM2G056231	x	GRMZM2G056231	1523.5	23.99198173	3.131186983	1.768321096	92.06333384	1.449807564	0.189213989	0.106857588	0.002972749	0.000824687	0.000400524	0.000194099	0.001028358	0.000285122	0.000143636	6.17706E-05
GRMZM2G056252	x	GRMZM2G056252	5470.083333	15241.38243	15897.29725	19959.85069	204.4810843	569.748981	594.2682003	746.1334066	0	3.53492E-05	0	0	0	6.02845E-05	0	0
