"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT4G35470.1",0,1,2,0,0,2,0.028,0.0357,0.78427,0.938164,0.994186
"AT2G32920.1",1,0,1,0,0,0,0.031,0.0357,0.78427,0.938164,0.994186
"AT2G36390.1",1,4,0,2,3,0,0.012,0.0233,0.784274,0.936348,0.99614
"AT1G74030.1",1,0,0,0,0,0,0.033,0.036,0.784274,0.938532,0.9938
"AT3G02200.2",2,2,2,0,4,0,0.013,0.0231,0.784277,0.936348,0.99614
"AT5G20570.1",0,0,0,1,0,0,0.021,0.0231,0.784277,0.936348,0.99614
"AT3G23760.1",1,0,1,0,0,1,0.022,0.023,0.784278,0.935989,0.996536
"AT4G29830.1",0,0,0,0,1,0,0.021,0.023,0.784278,0.935989,0.996536
"AT3G19340.1",0,2,0,2,0,0,0.029,0.0364,0.784281,0.938532,0.9938
"AT5G60790.1",2,4,0,3,0,3,0.013,0.0228,0.784282,0.935989,0.996536
"AT2G43910.1",4,13,8,5,12,8,0.01,0.0369,0.784291,0.938532,0.9938
"AT4G11010.1",1,12,11,5,7,12,0.006,0.0221,0.784296,0.935989,0.996536
"AT2G38410.1",0,1,0,0,0,0,0.019,0.0219,0.784299,0.935989,0.996536
"AT5G63400.1",7,9,9,8,10,7,0.011,0.0376,0.784303,0.938532,0.9938
"AT4G14570.1",0,3,0,3,0,0,0.025,0.0381,0.784312,0.938902,0.993416
"AT5G40930.1",0,0,0,0,0,1,0.034,0.0383,0.784317,0.938902,0.993416
"AT1G27390.1",1,1,0,0,1,0,0.018,0.0209,0.784318,0.935989,0.996536
"AT1G13900.1",0,1,0,0,1,1,0.019,0.0209,0.784318,0.935989,0.996536
"AT3G60440.1",0,0,0,0,0,0,0.018,0.0209,0.784318,0.935989,0.996536
"AT5G11340.1",0,1,0,0,1,0,0.018,0.0209,0.784318,0.935989,0.996536
"AT1G20810.1",0,1,1,0,0,0,0.034,0.0384,0.784319,0.938902,0.993416
"AT3G54900.1",2,3,0,2,2,2,0.012,0.0205,0.784328,0.935632,0.996933
"AT4G32930.1",0,1,0,1,0,0,0.018,0.0205,0.784328,0.935632,0.996933
"AT3G23820.1",0,0,0,1,0,1,0.017,0.0205,0.784328,0.935632,0.996933
"AT3G56190.1",3,4,3,4,3,3,0.018,0.0389,0.784331,0.938902,0.993416
"AT4G02580.1",3,5,1,0,3,5,0.018,0.0389,0.784331,0.938902,0.993416
"AT1G52730.1",1,0,0,0,0,0,0.018,0.0203,0.784333,0.935632,0.996933
"AT3G20050.1",7,8,6,9,5,7,0.006,0.0202,0.784335,0.935632,0.996933
"AT1G08490.1",0,1,1,0,0,0,0.034,0.0393,0.78434,0.938902,0.993416
"AT5G13360.1",0,0,0,0,1,0,0.017,0.0199,0.784343,0.935632,0.996933
"AT4G14160.1",0,1,0,0,0,0,0.018,0.0198,0.784345,0.935632,0.996933
