Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT4G11600.1	4	2	0	2	2	4
AT2G29450.1	0	0	0	2	4	5
AT1G10370.1	4	1	1	0	3	3
AT2G30860.1	15	15	10	17	17	15
AT1G27130.1	2	3	3	1	2	3
AT1G78370.1	6	6	4	10	10	16
AT1G11860.1	28	33	18	25	28	34
AT5G26780.1	3.5	4	0	6	0	2
AT4G13930.1	9	5	9	13	9	15
AT4G02450.1	2	2	3	2	2	2
AT5G13980.1	3	1	0	0	4	5
AT1G30580.1	0	0	0	3	1	2
AT1G79930.1	4.5	0	7.3	0	0	2
AT5G52640.1	0	0	0	21.1	15.4	32.5
AT4G16660.1	15	17	11	11	16	21
AT3G62750.1	0	0	0	0	1	1.5
AT4G16143.1	2	1	0	2	2	3
AT5G53480.1	20	22	14	16	23	29
AT1G72730.1	1.7	0	0	0	2	3.7
AT3G13920.1	25	32	21.4	4	35	23.2
AT1G54270.1	8.5	0	8.6	21	0	18.2
AT5G62350.1	0	3	0	0	0	0
AT1G75280.1	1	2	1	2	2	2
AT1G52000.1	0	0	0	0	0	4
AT5G04430.1	3	2	0	1	2	3
AT5G03350.1	5	5	1	0	0	1
AT1G49750.1	12	11	12	12	8	11
AT3G20820.1	4	6	4	4	0	5
AT4G33670.1	0	0	1	0	3	2
AT4G23850.1	9	10	8	5	7	9
AT3G11710.1	10	8	4	3	8	7
AT1G70890.1	2	2	4	4	4	0
AT3G26450.1	0	0	1	0	0	2
AT4G39330.1	8	10	6	10	14	11
AT4G37980.1	8	4	2	5	2	6
AT2G21250.1	5	5	4	7	8	3
AT3G44100.1	1	1	0	0	1	4
AT5G23820.1	1	2	1	0	2	2
AT3G59970.3	27.1	26.7	29.3	30.5	25.2	27.8
AT2G44160.1	11.9	5.3	9.8	9.5	13.8	11.2
AT5G46800.1	9	5	6	4	12	11
AT3G14210.1	41	36	33	54	46	64
AT5G25980.2	43.9	42.8	39.1	57	67.7	81.4
AT1G63000.1	3	4	1	2	3	2
AT5G20080.1	1	2	0	0	0	0
AT5G17770.1	0	1	0	0	2	3
AT3G27890.1	1	2	1	2	2	0
AT3G12390.1	6	7	2	8	12	9.7
AT1G17880.1	1	0	2	1	0	0
AT3G49470.1	0	0	0	2	2	4
AT5G13850.1	0	0	0	0	0	3.3
AT4G04910.1	4	4	1	0	0	0
AT1G29250.1	0	2	0	0	0	1
AT3G48990.1	12	12	9	10	14	17
AT1G01170.1	2	3	1	2	4	4
AT2G23350.1	13	7	11	8	6	11
AT1G72150.1	62	68.2	53	37	48.5	46.4
AT4G23670.1	12	6	6	10	7	8
AT5G19820.1	38	29	21	31	39	39
AT3G14310.1	3	0	8	8	10	17
AT2G16600.1	10	7	7	8	8	7
AT5G37850.2	1	0	0	0	0	2
AT2G42600.1	83.1	92.2	63.9	82.6	103.7	122.3
AT1G48600.1	3	3	2	3	1	5
AT1G70730.3	16.4	22.9	20.5	19.2	23.4	26.5
AT1G79550.1	22.7	11.6	10.9	30.5	18.7	33.3
AT3G15730.1	21	21	17	22	25	33
AT4G27520.1	39	35	34	28	41	35
AT4G34110.1	11	5	0	6	7	2
AT1G49760.1	11	9	12	10	9	8
AT4G38510.1	4.7	2.3	0	3	8.3	9.3
AT2G45180.1	3	15	3	3	3	11
AT3G02200.2	5	4	2	0	0	1
AT1G09310.1	1	0	2	0	0	3
AT1G20950.1	12	12	8	6	9	6
AT5G47200.1	5.2	4.7	0	3.8	0	9
AT3G10260.1	0	1	1	1	0	0
AT3G13870.1	3	4	2	0	1	2
AT4G30310.2	1	4	1	3	3	4
AT4G21150.1	10	10	7	6	9	7
AT3G23810.1	2.4	2.5	0	10.9	10.3	13
AT4G13940.1	40.6	27.5	36	36.1	51.7	81
AT2G36880.1	3	3.2	0	1	1.3	0
AT3G17390.1	18	13.8	10	21	12.7	13
AT2G27100.1	0	0	1	0	2	3
AT1G22530.1	19	21.8	21	6	7.5	8.6
AT4G14040.1	0	0	0	3	2	4
AT1G25490.1	11.8	9.7	11.1	6.8	6.7	11.4
AT5G27470.1	1	1	1	1	1	3
AT1G01800.1	2	2	5	3	2	6
AT2G21160.1	0	1	3	2	2	4
AT2G22990.2	0	1	1	0	2	1
AT1G17100.1	1	0	0	4	3	9
AT3G17210.1	1	2	0	0	0	1
AT3G14067.1	4	8	5	5	5	2
AT5G08300.1	4	1	3	0	0	0
AT1G80070.1	19	10.5	5.5	20	16	25
AT3G11830.1	15	16	15	9	13	13
AT3G03960.1	15	16	8	10	14	15
AT3G18190.1	8	13	7	5	10	16
AT5G20890.1	9	5	0	0	7	14
AT5G26360.1	7	11	6	6	9	10
AT3G16640.1	9	10	10	8	8	11
AT3G52140.1	12	6	6	13	15	19
AT5G26000.1	157.1	128.2	127.9	173	148.3	211.6
AT2G43910.1	2	0	0	7	5	6
