Name,STN,pVal
AT2G38540.1,-0.454,0.1719
sum66,-0.454,0.1719
AT1G22450.1,-0.454,0.1719
AT4G02510.1,0.4512,0.173
AT1G23190.1,0.451,0.173
AT1G01090.1,0.4506,0.173
AT1G56190.1,0.4506,0.1732
AT1G21440.1,-0.4503,0.1733
AT5G50850.1,-0.4498,0.1735
ATCG00120.1,0.4493,0.1736
AT5G28500.1,0.4482,0.1737
sum91,-0.4482,0.1739
AT3G18190.1,-0.4482,0.1739
AT3G26710.1,-0.4482,0.1739
sum55,0.4477,0.1741
AT2G04842.1,0.4462,0.1745
AT5G10470.1,0.4462,0.1745
AT1G70820.1,-0.4462,0.1749
AT3G09630.1,-0.4445,0.1752
AT5G04740.1,0.4439,0.1753
AT4G13780.1,0.4439,0.1753
AT5G16715.1,0.4439,0.1753
AT2G29080.1,0.4439,0.1753
AT1G17860.1,0.4439,0.1753
AT3G26570.1,0.4439,0.1753
AT2G26930.1,0.4439,0.1753
AT4G34830.1,0.4439,0.1753
AT5G42310.1,0.4439,0.1753
AT5G26710.1,0.4439,0.1753
AT1G49670.1,0.4439,0.1753
AT1G67350.1,0.4439,0.1753
AT2G17200.1,0.4439,0.1753
AT4G10060.1,0.4439,0.1753
AT1G02475.1,0.4439,0.1753
AT4G30810.1,-0.4439,0.178
AT1G72610.1,-0.4439,0.178
sum97,-0.4439,0.178
AT5G23940.1,-0.4439,0.178
AT5G01590.1,-0.4439,0.178
AT2G25670.1,-0.4439,0.178
AT1G42960.1,-0.4439,0.178
AT2G45140.1,-0.4439,0.178
AT2G42130.3,0.4426,0.1783
AT2G16600.1,0.4425,0.1786
AT4G13940.1,0.4408,0.1791
AT2G21330.1,-0.4394,0.1792
AT2G20890.1,0.4389,0.1794
AT5G61410.1,0.4386,0.1794
AT3G18890.1,-0.4371,0.1798
AT2G20450.1,0.437,0.1798
AT4G21210.1,-0.4353,0.1805
AT2G20260.1,-0.4351,0.1805
AT5G10450.1,-0.4342,0.1808
AT5G40810.1,-0.4332,0.181
AT5G19140.1,0.4323,0.1811
AT4G34620.1,-0.4322,0.1814
AT3G62360.1,0.4313,0.1817
AT4G27500.1,0.4313,0.1817
AT1G50320.1,-0.4313,0.1824
AT5G43750.1,-0.4313,0.1824
AT1G48520.1,0.4301,0.1828
AT3G18420.1,-0.4301,0.1846
AT1G54500.1,-0.4301,0.1846
AT1G73060.1,-0.429,0.1848
AT4G38970.1,-0.4285,0.1849
AT2G18020.1,0.4255,0.1856
AT1G72150.1,-0.4255,0.1856
AT4G17560.1,-0.4247,0.1858
AT3G10060.1,-0.4233,0.1865
AT2G45470.1,0.4227,0.1866
AT2G34460.1,-0.4226,0.187
sum119,0.4226,0.187
AT1G70600.1,0.4224,0.187
AT5G52970.1,0.4222,0.1871
AT2G45180.1,-0.4222,0.1889
AT1G52220.1,-0.4222,0.1889
AT3G44330.1,-0.4222,0.1889
AT3G23810.1,0.421,0.189
